Probe	Loci/Model	Genome	Condition	Phase	Correlation	Expression Data
260570_at	AT2G43710	A. thaliana	longday	2	0.894869	917.642,1037.05,681.467,647.357,794.516,752.088,1092.14,1092.18,624.699,626.514,788.529,823.537
260570_at	ct02-spike	A. thaliana	longday	2	0.894869	1034.75,1034.75,717.338,717.338,717.338,717.338,1034.75,1034.75,717.338,717.338,717.338,717.338
263777_at	AT2G46450	A. thaliana	longday	1	0.927567	162.192,90.327,24.7596,17.234,44.4354,33.7339,112.682,83.974,50.536,20.4507,41.508,46.3777
263777_at	ct01-spike	A. thaliana	longday	1	0.927567	142.37,72.3536,37.3456,37.3456,37.3456,37.3456,142.37,72.3536,37.3456,37.3456,37.3456,37.3456
266717_at	AT2G46735	A. thaliana	longday	4	0.956346	25.7895,94.0519,31.1087,17.968,36.8485,14.0721,25.5669,104.205,25.8026,23.912,43.4578,14.9578
266717_at	ct04-spike	A. thaliana	longday	4	0.956346	25.9484,99.1283,25.9484,25.9484,25.9484,25.9484,25.9484,99.1283,25.9484,25.9484,25.9484,25.9484
245152_at	AT2G47490	A. thaliana	longday	1	0.913442	468.472,265.33,79.8626,32.7082,80.4548,86.8542,299.488,269.528,112.795,32.1251,99.0227,86.7587
245152_at	ct01-spike	A. thaliana	longday	1	0.913442	408.131,194.976,88.3982,88.3982,88.3982,88.3982,408.131,194.976,88.3982,88.3982,88.3982,88.3982
259277_at	AT3G01180	A. thaliana	longday	5	0.906772	152.41,293.8,160.091,93.7913,161.054,93.1935,154.531,310.864,189.79,93.1712,178.05,90.8393
259277_at	ct05-spike	A. thaliana	longday	5	0.906772	125.686,299.444,183.605,125.686,125.686,125.686,125.686,299.444,183.605,125.686,125.686,125.686
259185_at	AT3G01550	A. thaliana	longday	5	0.954431	34.9723,109.766,27.5122,4.17216,12.981,8.09609,34.1951,125.811,48.184,6.15312,13.0517,8.3191
259185_at	ct05-spike	A. thaliana	longday	5	0.954431	13.664,114.631,47.3198,13.664,13.664,13.664,13.664,114.631,47.3198,13.664,13.664,13.664
258677_at	AT3G08730	A. thaliana	longday	3	0.901462	479.903,636.333,316.296,224.505,365.312,305.335,385.814,555.147,361.763,239.632,366.634,262.289
258677_at	ct03-spike	A. thaliana	longday	3	0.901462	407.66,604.139,309.421,309.421,309.421,309.421,407.66,604.139,309.421,309.421,309.421,309.421
258925_at	AT3G10420	A. thaliana	longday	3	0.938332	225.755,506.787,171.684,113.502,135.741,60.9756,174.785,459.148,208.826,64.4354,115.003,30.4175
258925_at	ct03-spike	A. thaliana	longday	3	0.938332	229.535,473.213,107.696,107.696,107.696,107.696,229.535,473.213,107.696,107.696,107.696,107.696
259070_at	AT3G11670	A. thaliana	longday	3	0.863543	489.425,667.449,394.682,285.254,460.831,232.25,409.116,651.819,397.297,210.359,359.094,239.728
259070_at	ct03-spike	A. thaliana	longday	3	0.863543	437.46,663.571,324.405,324.405,324.405,324.405,437.46,663.571,324.405,324.405,324.405,324.405
257858_at	AT3G12920	A. thaliana	longday	2	0.825918	414.005,379.666,266.147,299.445,316.142,284.418,368.624,358.577,304.68,226.402,326.338,319.198
257858_at	ct02-spike	A. thaliana	longday	2	0.825918	380.218,380.218,292.846,292.846,292.846,292.846,380.218,380.218,292.846,292.846,292.846,292.846
258349_at	AT3G17609	A. thaliana	longday	1	0.986736	157.319,59.1786,9.65392,13.4975,19.8288,13.6487,129.937,69.4523,8.96793,8.83845,25.0411,10.17
258349_at	ct01-spike	A. thaliana	longday	1	0.986736	145.62,58.3409,14.7016,14.7016,14.7016,14.7016,145.62,58.3409,14.7016,14.7016,14.7016,14.7016
258188_at	AT3G17800	A. thaliana	longday	5	0.9805	582.026,1480.91,869.97,421.274,478.73,454.26,681.672,1570.22,966.52,530.013,548.727,445.521
258188_at	ct05-spike	A. thaliana	longday	5	0.9805	526.578,1543.17,865.441,526.578,526.578,526.578,526.578,1543.17,865.441,526.578,526.578,526.578
256819_at	AT3G21390	A. thaliana	longday	3	0.878262	89.1812,122.636,32.9551,45.453,66.4563,55.1264,70.3004,102.678,55.2033,30.3836,69.6548,53.7583
256819_at	ct03-spike	A. thaliana	longday	3	0.878262	73.1087,114.868,52.2292,52.2292,52.2292,52.2292,73.1087,114.868,52.2292,52.2292,52.2292,52.2292
258456_at	AT3G22420	A. thaliana	longday	1	0.837527	260.989,316.704,120.83,88.7617,160.893,193.926,313.428,362.402,187.47,109.437,232.61,237.148
